DATE,MAFAINUSA646N
1/1/1953,4706
1/1/1954,4684
1/1/1955,4962
1/1/1956,5341
1/1/1957,5443
1/1/1958,5565
1/1/1959,5976
1/1/1960,6227
1/1/1961,6471
1/1/1962,6670
1/1/1963,6998
1/1/1964,7336
1/1/1965,7704
1/1/1966,8395
1/1/1967,8801
1/1/1968,9670
1/1/1969,10577
1/1/1970,11106
1/1/1971,11583
1/1/1972,12625
1/1/1973,13622
1/1/1974,14711
1/1/1975,15546
1/1/1976,16870
1/1/1977,18264
1/1/1978,20091
1/1/1979,22316
1/1/1980,23974
1/1/1981,25838
1/1/1982,27391
1/1/1983,28638
1/1/1984,31052
1/1/1985,32944
1/1/1986,34924
1/1/1987,36884
1/1/1988,38608
1/1/1989,41506
1/1/1990,42652
1/1/1991,43237
1/1/1992,44221
1/1/1993,47221
1/1/1994,49340
1/1/1995,51353
1/1/1996,53676
1/1/1997,56902
1/1/1998,59589
1/1/1999,62567
1/1/2000,65773
1/1/2001,66863
1/1/2002,66970
1/1/2003,68563
1/1/2004,70389
1/1/2005,73304
1/1/2006,77315
1/1/2007,78845
1/1/2008,79634
1/1/2009,78538
1/1/2010,78180
1/1/2011,81007
1/1/2012,82843
1/1/2013,87671
1/1/2014,88765
1/1/2015,92673
1/1/2016,97357
1/1/2017,100400
