DATE,ASPNE,ASPMW,ASPW,ASPS
1/1/1975,47300,41800,42300,38000
4/1/1975,46400,44000,43600,39800
7/1/1975,47400,42900,43600,39200
10/1/1975,47700,44500,47400,41300
1/1/1976,48600,45100,49200,43000
4/1/1976,48100,49400,51600,43700
7/1/1976,50700,47800,52000,44200
10/1/1976,53100,52600,54900,44200
1/1/1977,54000,51500,57900,45100
4/1/1977,55800,54100,61200,48300
7/1/1977,52900,54800,60700,48300
10/1/1977,55700,60900,65300,50400
1/1/1978,61000,59600,66800,52400
4/1/1978,60800,63400,69600,54800
7/1/1978,64000,66000,70000,56800
10/1/1978,65400,68400,76200,58600
1/1/1979,69300,66200,77000,60900
4/1/1979,73400,75800,82000,64000
7/1/1979,70600,73700,86300,66300
10/1/1979,74900,76100,86200,62900
1/1/1980,73400,73300,86800,65800
4/1/1980,74900,73600,90000,66800
7/1/1980,83800,74400,87600,71300
10/1/1980,85800,76600,95100,72500
1/1/1981,85600,88600,92400,72500
4/1/1981,95100,82700,97100,75900
7/1/1981,84000,78900,97400,77800
10/1/1981,87100,78800,97400,77600
1/1/1982,79400,86100,92100,76000
4/1/1982,93700,84200,96300,79800
7/1/1982,91200,85900,88500,79600
10/1/1982,90200,95300,93600,77500
1/1/1983,91800,99100,93600,79900
4/1/1983,93300,97800,95300,82700
7/1/1983,98600,99600,103400,84200
10/1/1983,102000,93800,97900,84700
1/1/1984,98800,99300,106000,86500
4/1/1984,114900,109600,110000,85400
7/1/1984,108900,113700,109200,85200
10/1/1984,107100,108300,111600,85300
1/1/1985,113200,99900,112800,86800
4/1/1985,118100,93400,113000,89700
7/1/1985,126900,90900,108700,88500
10/1/1985,125000,99800,113100,91100
1/1/1986,142600,98400,111600,92500
4/1/1986,150700,103500,117700,93900
7/1/1986,155100,102500,121800,96700
10/1/1986,157400,106800,116400,98000
1/1/1987,164200,110700,128300,102300
4/1/1987,180700,113300,134700,103600
7/1/1987,176400,113800,139300,108000
10/1/1987,167800,126600,139900,111200
1/1/1988,185000,124200,154900,112900
4/1/1988,177300,126300,150200,109900
7/1/1988,179800,119600,160900,120700
10/1/1988,182600,122100,158000,115600
1/1/1989,185500,128900,164300,118300
4/1/1989,178400,133900,174100,121100
7/1/1989,202000,122200,181700,119800
10/1/1989,188600,135400,174200,125900
1/1/1990,182700,141300,176800,122300
4/1/1990,185100,135900,176900,128700
7/1/1990,192900,121500,185500,119100
10/1/1990,200200,126400,185400,119600
1/1/1991,188100,143200,186500,122600
4/1/1991,197700,131500,176200,124700
7/1/1991,183900,129000,175800,122000
10/1/1991,188200,135100,164000,123100
1/1/1992,209000,131300,156500,130900
4/1/1992,197800,141500,160500,126000
7/1/1992,189000,130600,161000,121200
10/1/1992,191200,142600,156300,131600
1/1/1993,175200,142500,160400,131200
4/1/1993,185000,140700,160300,136100
7/1/1993,178200,150900,163500,131700
10/1/1993,198200,138800,164300,132700
1/1/1994,191000,151000,169300,138300
4/1/1994,202400,150600,167000,138700
7/1/1994,200700,152900,165000,133300
10/1/1994,205500,153500,176100,133300
1/1/1995,217100,153100,164600,135900
4/1/1995,209400,160500,169300,140500
7/1/1995,217100,152500,173600,140800
10/1/1995,217500,160000,169500,144200
1/1/1996,217500,160200,177200,143800
4/1/1996,238400,155900,189400,140900
7/1/1996,211600,153500,187900,141000
10/1/1996,245400,162700,190800,146000
1/1/1997,235900,164400,193800,147700
4/1/1997,239300,173000,199500,151500
7/1/1997,229800,173200,195800,150600
10/1/1997,231400,167900,203500,149600
1/1/1998,235000,181100,197200,157000
4/1/1998,242800,172900,197400,155500
7/1/1998,251600,182100,207900,157500
10/1/1998,232600,175800,199300,162800
1/1/1999,228300,183500,217400,166400
4/1/1999,248300,177300,215400,173500
7/1/1999,239800,190600,218000,167800
10/1/1999,273900,192000,241200,174800
1/1/2000,267300,188900,237500,176400
4/1/2000,254800,197700,237400,174700
7/1/2000,296700,189900,228300,179200
10/1/2000,280300,212700,253200,176300
1/1/2001,297600,197700,242900,185000
4/1/2001,301200,198200,247100,182400
7/1/2001,283600,190500,247500,180600
10/1/2001,294700,205300,257200,184600
1/1/2002,305600,214500,274500,192400
4/1/2002,288900,198700,275100,199200
7/1/2002,297100,201200,272100,185600
10/1/2002,320200,210500,280000,202900
1/1/2003,284400,213700,283500,202800
4/1/2003,315200,206500,293800,205600
7/1/2003,313400,218500,324800,204200
10/1/2003,350900,222500,325300,210900
1/1/2004,363900,238400,317500,221800
4/1/2004,333400,239800,337900,214900
7/1/2004,384100,237900,345500,229800
10/1/2004,404400,239400,362500,239500
1/1/2005,396600,240400,374200,242500
4/1/2005,373000,239700,386200,236600
7/1/2005,396500,239400,396200,241600
10/1/2005,426300,261800,387900,240300
1/1/2006,408300,259200,399200,258500
4/1/2006,431200,242300,413200,250700
