DATE,ASPS,ASPW,ASPNE,ASPMW
1975-01-01,38000,42300,47300,41800
1975-04-01,39800,43600,46400,44000
1975-07-01,39200,43600,47400,42900
1975-10-01,41300,47400,47700,44500
1976-01-01,43000,49200,48600,45100
1976-04-01,43700,51600,48100,49400
1976-07-01,44200,52000,50700,47800
1976-10-01,44200,54900,53100,52600
1977-01-01,45100,57900,54000,51500
1977-04-01,48300,61200,55800,54100
1977-07-01,48300,60700,52900,54800
1977-10-01,50400,65300,55700,60900
1978-01-01,52400,66800,61000,59600
1978-04-01,54800,69600,60800,63400
1978-07-01,56800,70000,64000,66000
1978-10-01,58600,76200,65400,68400
1979-01-01,60900,77000,69300,66200
1979-04-01,64000,82000,73400,75800
1979-07-01,66300,86300,70600,73700
1979-10-01,62900,86200,74900,76100
1980-01-01,65800,86800,73400,73300
1980-04-01,66800,90000,74900,73600
1980-07-01,71300,87600,83800,74400
1980-10-01,72500,95100,85800,76600
1981-01-01,72500,92400,85600,88600
1981-04-01,75900,97100,95100,82700
1981-07-01,77800,97400,84000,78900
1981-10-01,77600,97400,87100,78800
1982-01-01,76000,92100,79400,86100
1982-04-01,79800,96300,93700,84200
1982-07-01,79600,88500,91200,85900
1982-10-01,77500,93600,90200,95300
1983-01-01,79900,93600,91800,99100
1983-04-01,82700,95300,93300,97800
1983-07-01,84200,103400,98600,99600
1983-10-01,84700,97900,102000,93800
1984-01-01,86500,106000,98800,99300
1984-04-01,85400,110000,114900,109600
1984-07-01,85200,109200,108900,113700
1984-10-01,85300,111600,107100,108300
1985-01-01,86800,112800,113200,99900
1985-04-01,89700,113000,118100,93400
1985-07-01,88500,108700,126900,90900
1985-10-01,91100,113100,125000,99800
1986-01-01,92500,111600,142600,98400
1986-04-01,93900,117700,150700,103500
1986-07-01,96700,121800,155100,102500
1986-10-01,98000,116400,157400,106800
1987-01-01,102300,128300,164200,110700
1987-04-01,103600,134700,180700,113300
1987-07-01,108000,139300,176400,113800
1987-10-01,111200,139900,167800,126600
1988-01-01,112900,154900,185000,124200
1988-04-01,109900,150200,177300,126300
1988-07-01,120700,160900,179800,119600
1988-10-01,115600,158000,182600,122100
1989-01-01,118300,164300,185500,128900
1989-04-01,121100,174100,178400,133900
1989-07-01,119800,181700,202000,122200
1989-10-01,125900,174200,188600,135400
1990-01-01,122300,176800,182700,141300
1990-04-01,128700,176900,185100,135900
1990-07-01,119100,185500,192900,121500
1990-10-01,119600,185400,200200,126400
1991-01-01,122600,186500,188100,143200
1991-04-01,124700,176200,197700,131500
1991-07-01,122000,175800,183900,129000
1991-10-01,123100,164000,188200,135100
1992-01-01,130900,156500,209000,131300
1992-04-01,126000,160500,197800,141500
1992-07-01,121200,161000,189000,130600
