DATE,Housing NE,Housing MW,Housing W,Housing S,Housing NE Change QOQ,Housing MW Change QOQ,Housing W Change QOQ,Housing S Change QOQ,Housing NE Change QOQ (Norm),Housing MW Change QOQ (Norm),Housing W Change QOQ (Norm),Housing S Change QOQ (Norm),Fed Funds,Fed Funds Change QOQ,Fed Funds Change QOQ (Norm),Unemployment,UE QOQ Change,UE QOQ Change (Norm),Personal Income
1/1/75,47300,41800,42300,38000,,,,,,,,,6.303333333,,,8.3,,,
4/1/75,46400,44000,43600,39800,-0.019027484,0.052631579,0.030732861,0.047368421,-0.038583379,0.038885642,0.015960099,0.034082102,5.42,-0.140137493,-0.15302981,8.9,0.072580645,0.075949571,22982
7/1/75,47400,42900,43600,39200,0.021551724,-0.025,0,-0.015075377,0.001995829,-0.038745937,-0.014772762,-0.028361696,6.16,0.136531365,0.123639049,8.5,-0.045112782,-0.041743856,22993.5
10/1/75,47700,44500,47400,41300,0.006329114,0.037296037,0.087155963,0.053571429,-0.013226781,0.0235501,0.072383201,0.040285109,5.413333333,-0.121212121,-0.134104437,8.3,-0.019685039,-0.016316114,23005
1/1/76,48600,45100,49200,43000,0.018867925,0.013483146,0.037974684,0.041162228,-0.000687971,-0.000262791,0.023201922,0.027875908,4.826666667,-0.108374384,-0.1212667,7.7,-0.068273092,-0.064904167,23016.5
4/1/76,48100,49400,51600,43700,-0.010288066,0.095343681,0.048780488,0.01627907,-0.029843961,0.081597743,0.034007726,0.00299275,5.196666667,0.076657459,0.063765142,7.6,-0.021551724,-0.018182799,23028
7/1/76,50700,47800,52000,44200,0.054054054,-0.032388664,0.007751938,0.011441648,0.034498159,-0.046134601,-0.007020824,-0.001844672,5.283333333,0.016677357,0.003785041,7.7,0.022026432,0.025395357,23071.5
10/1/76,53100,52600,54900,44200,0.047337278,0.10041841,0.055769231,0,0.027781383,0.086672473,0.040996469,-0.013286319,4.873333333,-0.077602524,-0.09049484,7.8,0.004310345,0.00767927,23115
1/1/77,54000,51500,57900,45100,0.016949153,-0.020912548,0.054644809,0.020361991,-0.002606743,-0.034658485,0.039872047,0.007075672,4.66,-0.04377565,-0.056667966,7.5,-0.034334764,-0.030965838,23158.5
4/1/77,55800,54100,61200,48300,0.033333333,0.050485437,0.056994819,0.070953437,0.013777438,0.0367395,0.042222057,0.057667117,5.156666667,0.10658083,0.093688514,7.1,-0.048888889,-0.045519963,23202
7/1/77,52900,54800,60700,48300,-0.051971326,0.012939002,-0.008169935,0,-0.071527221,-0.000806935,-0.022942697,-0.013286319,5.82,0.12863607,0.115743754,6.9,-0.03271028,-0.029341355,23154
10/1/77,55700,60900,65300,50400,0.052930057,0.111313869,0.075782537,0.043478261,0.033374161,0.097567931,0.061009775,0.030191941,6.513333333,0.119129439,0.106237123,6.7,-0.033816425,-0.0304475,23106
1/1/78,61000,59600,66800,52400,0.095152603,-0.02134647,0.022970904,0.03968254,0.075596708,-0.035092407,0.008198142,0.02639622,6.756666667,0.037359263,0.024466947,6.3,-0.05,-0.046631074,23058
4/1/78,60800,63400,69600,54800,-0.003278689,0.063758389,0.041916168,0.045801527,-0.022834584,0.050012452,0.027143406,0.032515207,7.283333333,0.077947706,0.06505539,6,-0.052631579,-0.049262653,23010
7/1/78,64000,66000,70000,56800,0.052631579,0.041009464,0.005747126,0.03649635,0.033075684,0.027263526,-0.009025635,0.023210031,8.1,0.112128146,0.09923583,6,0.005555556,0.008924481,22852
10/1/78,65400,68400,76200,58600,0.021875,0.036363636,0.088571429,0.031690141,0.002319105,0.022617699,0.073798667,0.018403821,9.583333333,0.183127572,0.170235256,5.9,-0.022099448,-0.018730522,22694
1/1/79,69300,66200,77000,60900,0.059633028,-0.032163743,0.010498688,0.039249147,0.040077132,-0.04590968,-0.004274074,0.025962827,10.07333333,0.051130435,0.038238119,5.9,-0.005649718,-0.002280792,22536
4/1/79,73400,75800,82000,64000,0.059163059,0.145015106,0.064935065,0.05090312,0.039607164,0.131269169,0.050162303,0.0376168,10.18,0.010589014,-0.002303302,5.7,-0.028409091,-0.025040165,22378
7/1/79,70600,73700,86300,66300,-0.038147139,-0.027704485,0.052439024,0.0359375,-0.057703034,-0.041450423,0.037666262,0.022651181,10.94666667,0.075311067,0.062418751,5.9,0.029239766,0.032608692,22293
10/1/79,74900,76100,86200,62900,0.060906516,0.03256445,-0.001158749,-0.051282051,0.04135062,0.018818513,-0.01593151,-0.064568371,13.57666667,0.240255786,0.227363469,6,0.017045455,0.02041438,22208
1/1/80,73400,73300,86800,65800,-0.020026702,-0.036793693,0.006960557,0.046104928,-0.039582598,-0.05053963,-0.007812205,0.032818609,15.04666667,0.108274,0.095381683,6.3,0.055865922,0.059234847,22123
4/1/80,74900,73600,90000,66800,0.020435967,0.004092769,0.036866359,0.015197568,0.000880072,-0.009653168,0.022093598,0.001911249,12.68666667,-0.15684537,-0.169737686,7.3,0.164021164,0.16739009,22038
7/1/80,83800,74400,87600,71300,0.1188251,0.010869565,-0.026666667,0.067365269,0.099269205,-0.002876372,-0.041439429,0.05407895,9.836666667,-0.224645297,-0.237537613,7.7,0.045454545,0.048823471,21935.25
10/1/80,85800,76600,95100,72500,0.023866348,0.029569892,0.085616438,0.016830295,0.004310453,0.015823955,0.070843676,0.003543975,15.85333333,0.611657065,0.598764749,7.4,-0.034782609,-0.031413683,21832.5
1/1/81,85600,88600,92400,72500,-0.002331002,0.156657963,-0.028391167,0,-0.021886898,0.142912026,-0.043163929,-0.013286319,16.57,0.045206056,0.032313739,7.4,0.004504505,0.00787343,21729.75
4/1/81,95100,82700,97100,75900,0.110981308,-0.066591422,0.050865801,0.046896552,0.091425413,-0.080337359,0.036093039,0.033610232,17.78,0.073023537,0.06013122,7.4,-0.004484305,-0.001115379,21627
7/1/81,84000,78900,97400,77800,-0.116719243,-0.045949214,0.003089598,0.025032938,-0.136275138,-0.059695151,-0.011683164,0.011746619,17.57666667,-0.01143607,-0.024328387,7.4,0,0.003368926,21684.25
10/1/81,87100,78800,97400,77600,0.036904762,-0.001267427,0,-0.002570694,0.017348867,-0.015013364,-0.014772762,-0.015857013,13.58666667,-0.2270055,-0.239897816,8.2,0.112612613,0.115981538,21741.5
1/1/82,79400,86100,92100,76000,-0.088404133,0.092639594,-0.054414784,-0.020618557,-0.107960028,0.078893657,-0.069187546,-0.033904876,14.22666667,0.047105005,0.034212689,8.8,0.072874494,0.076243419,21798.75
4/1/82,93700,84200,96300,79800,0.180100756,-0.022067364,0.045602606,0.05,0.16054486,-0.035813301,0.030829844,0.036713681,14.51333333,0.020149953,0.007257637,9.4,0.067924528,0.071293454,21856
7/1/82,91200,85900,88500,79600,-0.026680896,0.020190024,-0.080996885,-0.002506266,-0.046236792,0.006444087,-0.095769647,-0.015792585,11.00666667,-0.241616904,-0.25450922,9.9,0.049469965,0.05283889,21963
10/1/82,90200,95300,93600,77500,-0.010964912,0.109429569,0.057627119,-0.02638191,-0.030520808,0.095683632,0.042854357,-0.039668229,9.286666667,-0.156268928,-0.169161244,10.7,0.077441077,0.080810003,22070
1/1/83,91800,99100,93600,79900,0.017738359,0.039874082,0,0.030967742,-0.001817536,0.026128145,-0.014772762,0.017681423,8.653333333,-0.068198134,-0.08109045,10.4,-0.028125,-0.024756074,22177
4/1/83,93300,97800,95300,82700,0.016339869,-0.013118063,0.018162393,0.035043805,-0.003216026,-0.026864,0.003389631,0.021757485,8.803333333,0.017334361,0.004442044,10.1,-0.022508039,-0.019139113,22284
7/1/83,98600,99600,103400,84200,0.056806002,0.018404908,0.084994753,0.018137848,0.037250107,0.004658971,0.070221991,0.004851528,9.46,0.074592957,0.061700641,9.4,-0.075657895,-0.072288969,22445
10/1/83,102000,93800,97900,84700,0.034482759,-0.058232932,-0.053191489,0.005938242,0.014926863,-0.071978869,-0.067964251,-0.007348077,9.43,-0.003171247,-0.016063564,8.5,-0.088967972,-0.085599046,22606
1/1/84,98800,99300,106000,86500,-0.031372549,0.058635394,0.082737487,0.021251476,-0.050928444,0.044889457,0.067964725,0.007965156,9.686666667,0.027218098,0.014325782,7.9,-0.078125,-0.074756074,22767
4/1/84,114900,109600,110000,85400,0.162955466,0.103726083,0.037735849,-0.012716763,0.14339957,0.089980145,0.022963087,-0.026003082,10.55666667,0.089814178,0.076921861,7.4,-0.055084746,-0.05171582,22928
7/1/84,108900,113700,109200,85200,-0.052219321,0.037408759,-0.007272727,-0.00234192,-0.071775216,0.023662822,-0.022045489,-0.01562824,11.39,0.078939059,0.066046743,7.4,0,0.003368926,23052
