Ticker,DATE,PX_LAST,Sector
SPX Index                                                       ,10/31/2018,2711.74,All
SPX Index                                                       ,9/28/2018,2913.98,All
SPX Index                                                       ,8/31/2018,2901.52,All
SPX Index                                                       ,7/31/2018,2816.29,All
SPX Index                                                       ,6/29/2018,2718.37,All
SPX Index                                                       ,5/31/2018,2705.27,All
SPX Index                                                       ,4/30/2018,2648.05,All
SPX Index                                                       ,3/30/2018,2640.87,All
SPX Index                                                       ,2/28/2018,2713.83,All
SPX Index                                                       ,1/31/2018,2823.81,All
SPX Index                                                       ,12/29/2017,2673.61,All
SPX Index                                                       ,11/30/2017,2647.58,All
SPX Index                                                       ,10/31/2017,2575.26,All
SPX Index                                                       ,9/29/2017,2519.36,All
SPX Index                                                       ,8/31/2017,2471.65,All
SPX Index                                                       ,7/31/2017,2470.3,All
SPX Index                                                       ,6/30/2017,2423.41,All
SPX Index                                                       ,5/31/2017,2411.8,All
SPX Index                                                       ,4/28/2017,2384.2,All
SPX Index                                                       ,3/31/2017,2362.72,All
SPX Index                                                       ,2/28/2017,2363.64,All
SPX Index                                                       ,1/31/2017,2278.87,All
SPX Index                                                       ,12/30/2016,2238.83,All
SPX Index                                                       ,11/30/2016,2198.81,All
SPX Index                                                       ,10/31/2016,2126.15,All
SPX Index                                                       ,9/30/2016,2168.27,All
SPX Index                                                       ,8/31/2016,2170.95,All
SPX Index                                                       ,7/29/2016,2173.6,All
SPX Index                                                       ,6/30/2016,2098.86,All
SPX Index                                                       ,5/31/2016,2096.96,All
SPX Index                                                       ,4/29/2016,2065.3,All
SPX Index                                                       ,3/31/2016,2059.74,All
SPX Index                                                       ,2/29/2016,1932.23,All
SPX Index                                                       ,1/29/2016,1940.24,All
SPX Index                                                       ,12/31/2015,2043.94,All
SPX Index                                                       ,11/30/2015,2080.41,All
SPX Index                                                       ,10/30/2015,2079.36,All
SPX Index                                                       ,9/30/2015,1920.03,All
SPX Index                                                       ,8/31/2015,1972.18,All
SPX Index                                                       ,7/31/2015,2103.84,All
SPX Index                                                       ,6/30/2015,2063.11,All
SPX Index                                                       ,5/29/2015,2107.39,All
SPX Index                                                       ,4/30/2015,2085.51,All
SPX Index                                                       ,3/31/2015,2067.89,All
SPX Index                                                       ,2/27/2015,2104.5,All
SPX Index                                                       ,1/30/2015,1994.99,All
SPX Index                                                       ,12/31/2014,2058.9,All
SPX Index                                                       ,11/28/2014,2067.56,All
SPX Index                                                       ,10/31/2014,2018.05,All
SPX Index                                                       ,9/30/2014,1972.29,All
SPX Index                                                       ,8/29/2014,2003.37,All
SPX Index                                                       ,7/31/2014,1930.67,All
SPX Index                                                       ,6/30/2014,1960.23,All
SPX Index                                                       ,5/30/2014,1923.57,All
SPX Index                                                       ,4/30/2014,1883.95,All
SPX Index                                                       ,3/31/2014,1872.34,All
SPX Index                                                       ,2/28/2014,1859.45,All
SPX Index                                                       ,1/31/2014,1782.59,All
SPX Index                                                       ,12/31/2013,1848.36,All
SPX Index                                                       ,11/29/2013,1805.81,All
SPX Index                                                       ,10/31/2013,1756.54,All
SPX Index                                                       ,9/30/2013,1681.55,All
SPX Index                                                       ,8/30/2013,1632.97,All
SPX Index                                                       ,7/31/2013,1685.73,All
SPX Index                                                       ,6/28/2013,1606.28,All
SPX Index                                                       ,5/31/2013,1630.74,All
SPX Index                                                       ,4/30/2013,1597.57,All
SPX Index                                                       ,3/29/2013,1569.19,All
SPX Index                                                       ,2/28/2013,1514.68,All
SPX Index                                                       ,1/31/2013,1498.11,All
SPX Index                                                       ,12/31/2012,1426.19,All
SPX Index                                                       ,11/30/2012,1416.18,All
SPX Index                                                       ,10/31/2012,1412.16,All
SPX Index                                                       ,9/28/2012,1440.67,All
SPX Index                                                       ,8/31/2012,1406.58,All
SPX Index                                                       ,7/31/2012,1379.32,All
SPX Index                                                       ,6/29/2012,1362.16,All
SPX Index                                                       ,5/31/2012,1310.33,All
SPX Index                                                       ,4/30/2012,1397.91,All
SPX Index                                                       ,3/30/2012,1408.47,All
SPX Index                                                       ,2/29/2012,1365.68,All
SPX Index                                                       ,1/31/2012,1312.41,All
SPX Index                                                       ,12/30/2011,1257.61,All
SPX Index                                                       ,11/30/2011,1246.96,All
SPX Index                                                       ,10/31/2011,1253.3,All
