DATE,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Communication Services,Utilities,All
10/1/1989,75.8588,58.93,82.42,82.76,68.33,75.36,70.58,78.8,0,92.56,95.71,349.15
11/1/1989,72.205,59.15,82.92,79.23,68.8,71.53,67.48,74.48,0,91.36,97.11,340.36
12/1/1989,71.7006,60.65,85.84,78.96,72.05,73.12,66.12,75.94,0,93.41,99.53,345.99
1/1/1990,71.2032,62.33,91.62,76.14,72.56,75.11,64.7,78.08,0,99.89,103.76,353.4
2/1/1990,66.4561,56.33,88.24,68.08,67.78,71.45,65.19,72.01,0,86.98,98.43,329.08
3/1/1990,67.6765,55.44,89.81,70.26,65.86,73.09,67.54,72.44,0,86.51,97.43,331.89
4/1/1990,69.6771,58.61,90.07,68.03,68.07,76.11,70.06,73.57,0,90.85,95.7,339.94
5/1/1990,67.0729,59.28,86.62,64.99,68.25,74.48,69.42,69.91,0,87.53,90.36,330.8
6/1/1990,74.2625,65.34,91.94,72.89,77.01,79.97,78.06,75.15,0,95.02,94.71,361.23
7/1/1990,73.775,67.71,89.83,70.42,80.36,79.49,76.6,72.67,0,89.1,94.69,358.02
8/1/1990,69.5827,68.39,98.24,67.01,82.8,78.37,70.93,74.99,0,85.3,94.89,356.15
9/1/1990,60.8885,63.4,95.89,58.62,76.37,68.5,62.06,66.51,0,77.28,87.41,322.56
10/1/1990,55.6584,60.95,93.06,51.02,73.37,62.76,59.43,61.51,0,79.98,88.08,306.05
11/1/1990,53.7469,64.06,89.97,46.74,74.54,61.03,56.96,59.5,0,83.47,95.43,304
12/1/1990,58.999,67.4,91.61,54.71,81.41,64.27,62.4,63.8,0,82.53,96.33,322.22
1/1/1991,60.5674,70.06,90.34,57.56,82.82,67.38,65.01,67.2,0,82.24,96.17,330.22
2/1/1991,65.9162,71.48,88.08,61.65,85.7,73.54,73.43,70.58,0,81.24,94.09,343.93
3/1/1991,70.5629,77.88,95.48,68.17,93.56,77.33,76.92,73.34,0,83.13,97.63,367.07
4/1/1991,73.4017,82.1,95.4,72,98.02,77.53,74.17,73.08,0,84.53,98.89,375.22
5/1/1991,74.1629,80.43,97.83,72.36,97.44,77.5,71.56,75.26,0,84.26,97.89,375.35
6/1/1991,79.974,82.83,96.15,75.76,101.18,83.73,73.85,82.25,0,82.85,97.31,389.83
7/1/1991,75.4513,78.32,91.54,70.63,96.91,79.4,67.54,79.93,0,82.78,94.37,371.16
8/1/1991,78.6102,83.1,96.82,74.48,104.52,80.49,70.19,82.93,0,84.27,97.96,387.81
9/1/1991,80.4549,87.34,96.98,77.44,107.26,81.55,69.75,82.31,0,84.57,100.7,395.43
10/1/1991,78.4398,84.31,95.7,76.9,105.5,79.09,68.71,79.4,0,83.58,104.08,387.86
11/1/1991,76.9746,84.2,97.09,77.64,110.65,80.67,68.63,81.59,0,84.94,105.3,392.46
12/1/1991,74.4579,84.1,88.8,72.29,107.22,75.61,65.4,74.8,0,81.31,106.79,375.22
1/1/1992,83.7412,96.96,92.5,82.78,124.4,84.89,69.3,81.67,0,88.73,111.55,417.09
2/1/1992,85.5786,93.95,87.82,81.31,115.58,85.49,73.28,83.01,0,84.4,104.68,408.79
3/1/1992,89.3404,93.81,86.16,84.15,113.76,87.55,76.58,85.08,0,81.95,102.34,412.7
4/1/1992,88.0847,92.65,83.35,82.55,107.93,85.11,72.76,85.45,0,81.93,101.53,403.69
5/1/1992,88.6465,93.39,91.84,83.42,107.36,86.99,73.65,90.45,0,88.49,104.13,414.95
6/1/1992,88.4783,94.34,94.24,84.88,107.33,85.89,72.41,89.73,0,85.72,106.44,415.35
7/1/1992,88.0721,91.62,91.56,86.47,102.15,83.21,71.16,87.35,0,87.09,106.37,408.14
8/1/1992,90.1744,96.8,95.59,88.64,108.43,84.92,72.84,88.57,0,92.77,113.44,424.21
9/1/1992,87.7921,97.52,97.47,84.68,104.45,81.63,67.62,83.69,0,91.56,111.24,414.03
10/1/1992,89.8032,98.93,97.22,87.55,98.74,84.68,68.39,83.75,0,92.75,111.46,417.8
11/1/1992,91.6139,98.81,92.47,89.58,101.3,84.78,68.1,85.14,0,91.74,110.64,418.68
12/1/1992,97.9879,100.66,89.62,95.26,103.89,88.64,71.53,86.8,0,93.73,109.55,431.35
1/1/1993,98.3652,99.9,90.33,99.13,101.91,90.64,69.7,87.55,0,98.5,111.94,435.71
2/1/1993,102.0572,97.59,92.42,102.35,93.65,91.24,74.68,87.67,0,99.25,115.16,438.78
3/1/1993,101.5754,96.75,96.7,104.35,86.83,91.78,77.13,88.6,0,105.85,122.06,443.38
4/1/1993,104.3681,96.76,100.25,108.2,87.4,94.13,76.8,88.74,0,108.29,123.2,451.67
5/1/1993,98.2348,88,101.58,104.49,89.06,94.8,73.89,90.65,0,105,122.5,440.19
6/1/1993,102.4211,89.48,102.79,104.05,90.87,96.78,80.64,92.17,0,108.38,121.67,450.19
7/1/1993,99.9907,89.18,101.7,109.14,87.49,97.38,78.58,89.65,0,113.79,125.37,450.53
8/1/1993,101.4128,85.97,102.61,111.09,80.75,98.09,73.78,89.9,0,115.27,127.79,448.13
9/1/1993,104.3808,89.1,105.9,113.8,83.78,101.4,79.45,92.01,0,119.78,132.06,463.56
10/1/1993,103.6929,86.77,106.69,115.71,82.83,99.59,79.76,88.09,0,117.67,130.27,458.93
11/1/1993,111.3091,92.68,105.82,108.85,87.37,100.6,81.81,91.57,0,117.85,127.27,467.83
12/1/1993,112.4968,92.91,99.43,104.95,89.29,101.04,82.82,93.76,0,111.15,119.8,461.79
1/1/1994,110.9579,93.63,100.4,106.81,90.72,105,83.96,96.79,0,109.18,120.71,466.45
2/1/1994,113.973,93.91,105.12,112.27,91.05,109.55,88.14,104.47,0,112.81,119.11,481.61
3/1/1994,112.8392,92.93,101.29,106.02,85.42,107.32,90.5,101.46,0,106.11,111.8,467.14
4/1/1994,106.4778,89.04,96.94,101.53,80.42,102.27,87.46,97.11,0,102.77,105.71,445.77
5/1/1994,106.1284,91.18,101.43,104.79,82.94,101.1,84.05,97.03,0,105.05,106.63,450.91
6/1/1994,105.6367,89.86,101.25,110.13,87.72,101.71,86.92,101,0,106.72,100.8,456.5
7/1/1994,103.0254,87.53,98.63,106.68,85.11,98.96,81.78,98.1,0,107.54,97.21,444.27
8/1/1994,105.4209,90.78,103.35,108.96,86.18,102.41,85.19,102.86,0,109.16,101.94,458.26
9/1/1994,106.9172,97.07,102.07,112.51,95.9,105.09,93.82,108.81,0,109.53,101.82,475.49
10/1/1994,102.5186,96.76,99.06,104.12,97.69,100.69,92.1,108.69,0,107.25,98.97,462.69
11/1/1994,103.0115,99.74,107.07,105.6,98.67,102.12,100.33,104.86,0,106.35,100.55,472.35
12/1/1994,100.2293,98.49,101.22,99.1,99.37,95.58,98.09,96.62,0,99.54,100.04,453.69
1/1/1995,100,100,100,100,100,100,100,100,0,100,100,459.27
2/1/1995,100.6469,102.05,101.81,106.08,106.37,101.92,99.91,96.04,0,104.64,106.19,470.42
3/1/1995,104.0632,104.97,104.99,111.67,107.6,107.29,106.58,102.21,0,105.24,106.29,487.39
4/1/1995,107.2018,108,110.34,111.81,110.58,110.84,111.95,107.65,0,105.48,103.89,500.71
5/1/1995,105.764,111.06,113.33,115.56,113.34,114.24,123.73,109,0,107.74,106.77,514.71
6/1/1995,110.4808,115.84,116.72,124.22,115.94,116.74,128.43,112.23,0,106.98,113.77,533.4
7/1/1995,113.3938,117.71,112.48,124.68,120.74,118.58,140.02,116.34,0,109.92,112.06,544.75
8/1/1995,117.1346,117.7,116.16,128.01,126.33,123.87,148.62,119.47,0,113.7,111.68,562.06
9/1/1995,114.5146,117.13,111.76,134.91,125.82,122.47,148.25,118.73,0,118.85,110.38,561.88
10/1/1995,115.9436,125.67,113.88,143.26,136.66,125.42,147.24,119.11,0,128.35,116.92,584.41
11/1/1995,110.3707,128.86,114.05,138.75,140.3,124.08,152.78,111.55,0,129.28,118.33,581.5
12/1/1995,117.2302,134.4,118.48,148.41,146.9,132.63,146.93,118.42,0,132.2,118.85,605.37
1/1/1996,118.187,136.22,125.97,149.64,154.5,135.93,138.77,117.29,0,137.33,125.19,615.93
2/1/1996,120.5817,140.18,125.77,157.12,162.88,140.25,144.25,124.96,0,139.65,127.4,636.02
3/1/1996,122.4824,142.41,125.98,159.74,160.08,141.89,153.32,124.46,0,134.29,122.66,640.43
4/1/1996,127.4539,140.41,131.95,161.3,159.9,145.32,145.98,132.28,0,130.56,121.18,645.5
5/1/1996,130.4495,140.15,135.39,158.08,156.79,147.98,160.41,132.71,0,133.53,118.46,654.17
6/1/1996,134.2656,148.32,135.86,161.16,162.91,151.27,165.09,130.85,0,132.79,119.41,669.12
7/1/1996,131.7284,153.98,137.05,162.61,165.77,151.48,159.84,124.26,0,133.58,125.39,670.63
8/1/1996,122.5487,149.88,131.77,158.91,157.55,144.45,152.03,121.05,0,122.81,117.08,639.95
9/1/1996,126.6484,148.1,133.55,163.95,163.16,148.19,157.39,124.48,0,118.71,118.92,651.99
10/1/1996,129.4278,156.39,138.27,174.81,176.32,157.6,174.65,129.76,0,119.75,119.43,687.31
11/1/1996,130.422,158.72,146.67,187.46,177.56,160.14,176.55,130.65,0,122.11,124.97,705.27
12/1/1996,136.4192,167.22,152.91,205.11,192.12,171.24,204.27,136.72,0,130.17,126.79,757.02
1/1/1997,130.655,167.8,153.35,197.34,183.49,166.83,198.81,132.99,0,134.33,125.41,740.74
2/1/1997,133.7088,177.55,160.9,213.25,203.28,171.89,225.41,136.34,0,137.4,125.77,786.16
3/1/1997,137.6812,185.42,153.48,221.31,205.85,171.59,209.61,139.67,0,142.8,124.18,790.82
4/1/1997,135.0712,174.78,161.04,205.24,191.72,166.4,200.57,133.41,0,131.11,119.66,757.12
5/1/1997,140.3173,188.22,162.6,219.56,207.26,176.12,223.05,136.71,0,135.28,117.32,801.34
6/1/1997,146.6231,197.47,173.21,229.46,219.55,188.95,241.78,144.71,0,142.84,121.69,848.28
7/1/1997,151.4715,204.06,179.41,241.83,239.79,199.79,245.95,149.72,0,146.64,124.87,885.14
8/1/1997,163.18,211.65,191.49,270.21,244.24,212.97,292.64,162.32,0,147.59,127.19,954.29
9/1/1997,157.3302,192.11,185.25,249.76,224.58,199.63,283.34,154.23,0,140.99,124.04,899.47
10/1/1997,165.3382,200.86,197.44,269.55,237.29,209.02,292.44,155.58,0,153.64,128.79,947.28
11/1/1997,161.7154,196.74,192.05,263.5,239.44,194.69,265.49,141.89,0,157.95,129.59,914.62
12/1/1997,168.7222,211.25,188.01,273.63,249.52,206.8,272.01,143.13,0,179.1,138.57,955.4
1/1/1998,172.8829,219.01,187.1,286.91,259.92,208.55,254.73,141.37,0,184.21,148.5,970.43
2/1/1998,175.0749,214.33,176.88,278.32,277.79,210.24,276.15,140.4,0,194.08,142.17,980.28
3/1/1998,192.1621,227.4,188.48,304.08,292.68,223.36,304.83,148.19,0,194.47,146.22,1049.34
4/1/1998,204.1607,237.95,196.39,321.03,303.07,235.56,309.47,156.09,0,215.2,155.21,1101.75
5/1/1998,208.8456,230.72,203.23,325.82,310.02,230.74,326.59,161.93,0,204.12,151.19,1111.75
6/1/1998,215.6774,234.25,195.64,317.65,303.47,223.03,305.93,156.75,0,202.63,149.91,1090.82
7/1/1998,224.4729,243.22,193.13,330.52,325.2,226.94,335.89,150.27,0,206.18,155.08,1133.84
8/1/1998,223.0341,232.01,181.92,330.11,326.46,215.9,350.48,137.71,0,214.36,146.94,1120.67
9/1/1998,188.6239,204.44,160.75,253.7,289.47,187.48,293,119.4,0,194.13,149.61,957.28
10/1/1998,186.952,204.86,182.77,258.39,323.23,193.59,331.83,126.67,0,215.5,160.89,1017.01
11/1/1998,208.3886,235.43,184.92,289.12,334.5,212.11,354.04,130.96,0,231.59,157.44,1098.67
12/1/1998,224.0837,245.27,185.45,308.58,354.59,220.21,394.69,135.21,0,242.11,159.12,1163.63
1/1/1999,241.2688,249.4,183.44,314.38,369.84,227.93,452.51,130.09,0,274.95,163.39,1229.23
2/1/1999,254.8239,243.69,170.06,320.57,368.27,231.54,530.69,127.02,0,297.53,155.89,1279.64
3/1/1999,255.1936,233.32,168.33,324.46,371.27,227.32,465.45,128,0,289.58,149.3,1238.33
4/1/1999,266.4461,228.15,192.89,336.32,379.77,236.25,507.55,131.07,0,283.23,146.39,1286.37
5/1/1999,273.2903,230.68,220.88,358.64,354.26,256.37,513.17,162.59,0,293.87,158.52,1335.18
6/1/1999,261.3951,231.12,214.26,338.35,343.73,248.64,506.62,149.87,0,299.43,167.87,1301.84
7/1/1999,276.9181,228.26,216.1,351.79,359.21,264.93,566.61,157.31,0,319.82,161.45,1372.71
8/1/1999,260.6776,226.06,218.76,329.45,339.18,254.97,562.7,154.81,0,312.26,159.08,1328.72
9/1/1999,251.5074,221.91,221.32,313.96,350.19,252.26,597.16,148.27,0,281.96,160.04,1320.41
10/1/1999,252.6919,198.76,212.33,297.14,321.55,251.03,594.47,143.72,0,295.08,151.85,1282.71
11/1/1999,270.4906,212.96,209.23,346.17,356.87,256.97,605,146.87,0,318.15,153.63,1362.93
12/1/1999,273.0785,215.68,212.21,328.84,358.92,248.21,673.12,144.52,0,330.62,141.63,1388.91
1/1/2000,299.3063,208.05,212.72,321.72,326.78,273.38,807.44,159.96,0,322.81,142.43,1469.25
2/1/2000,274.2822,193.87,209.22,311.09,345.91,248.4,745.4,141.06,0,311.05,157.63,1394.46
3/1/2000,258.2773,174.01,196.1,276.92,309.58,237.5,845.94,127.19,0,285.92,147.16,1366.42
4/1/2000,287.6298,171.55,216.62,327.62,326.26,269.35,916.71,139.59,0,317.2,151.48,1498.58
5/1/2000,281.927,175.73,214.81,316.76,351.91,274.18,833.68,133.43,0,297.44,162.91,1452.43
6/1/2000,268.9761,192.32,234.16,337.34,370.9,272.32,746.2,129.95,0,267.73,169.31,1420.6
7/1/2000,262.2645,193.96,221.76,316.56,401.68,265.54,831.85,118.08,0,271.99,158.71,1454.6
